car_id,brand,model,year,km_driven,fuel,transmission,owner,engine_cc,seats,city,color,insurance,price_inr
C0001,Maruti,Wagon R,2021,59508.0,Diesel,Manual,4,1498.0,5,Kolkata,Red,Comprehensive,785877
C0002,Mahindra,Scorpio,2016,104688.0,Diesel,Manual,1,2993.0,5,Ahmedabad,White,Third Party,1305523
C0003,Hyundai,Grand i10,2021,68005.0,CNG,Automatic,1,1497.0,5,Mumbai,White,Comprehensive,1164437
C0004,Renault,Triber,2018,71279.0,Petrol,Manual,1,2993.0,5,Delhi,Silver,Comprehensive,1079477
C0005,Renault,Duster,2015,93918.0,Petrol,Automatic,2,2755.0,5,Ahmedabad,Black,Third Party,897128
C0006,Volkswagen,Polo,2022,39704.0,Diesel,Automatic,2,998.0,5,Pune,Grey,Comprehensive,1416271
C0007,Tata,Tiago,2021,15708.0,Diesel,Manual,1,1591.0,5,Kolkata,Black,Comprehensive,1107802
C0008,Renault,Kwid,2017,69037.0,Petrol,Manual,1,1498.0,5,Mumbai,Grey,Comprehensive,705672
C0009,Renault,Triber,2018,88721.0,Petrol,Manual,1,1498.0,5,Delhi,Silver,Comprehensive,838542
C0010,Renault,Kwid,2019,80976.0,Petrol,Manual,2,2179.0,5,Jaipur,White,Comprehensive,783536
C0011,Toyota,Yaris,2019,62193.0,Electric,Automatic,2,2179.0,5,Kolkata,Black,Comprehensive,1557920
C0012,Hyundai,Verna,2021,53819.0,Diesel,Manual,2,1199.0,5,Mumbai,Red,Comprehensive,1173408
C0013,Hyundai,Verna,2015,96577.0,Petrol,Manual,1,2179.0,5,Delhi,White,Comprehensive,758146
C0014,Ford,EcoSport,2017,84983.0,Petrol,Manual,1,2993.0,7,Mumbai,Silver,Third Party,1130907
C0015,Honda,Amaze,2021,53459.0,Diesel,Manual,1,1591.0,5,Pune,Grey,Comprehensive,1255290
C0016,Toyota,Yaris,2014,123644.0,Diesel,Manual,2,2755.0,5,Chennai,Grey,Third Party,1041877
C0017,Toyota,Innova,2020,36171.0,Petrol,Manual,1,2993.0,7,Mumbai,Red,Comprehensive,1888115
C0018,Kia,Seltos,2020,56766.0,Electric,Manual,1,1591.0,5,Jaipur,Blue,Third Party,1778280
C0019,Volkswagen,Virtus,2016,108644.0,Petrol,Automatic,2,2755.0,5,Ahmedabad,White,Third Party,1192569
C0020,Maruti,Vitara Brezza,2024,41216.0,Diesel,Manual,1,1199.0,5,Kolkata,Blue,Comprehensive,1248324
C0021,Renault,Kiger,2017,91907.0,Petrol,Manual,1,2993.0,5,Kochi,Red,Comprehensive,975300
C0022,Renault,Triber,2022,18693.0,Diesel,Automatic,2,1998.0,5,Mumbai,White,Third Party,1281792
C0023,Renault,Duster,2015,124686.0,Electric,Manual,3,1591.0,5,Pune,Grey,Comprehensive,712045
C0024,Ford,EcoSport,2022,71692.0,Diesel,Automatic,2,1498.0,5,Delhi,Red,Comprehensive,1351354
C0025,Honda,WR-V,2016,64848.0,Petrol,Manual,3,2393.0,5,Chennai,Silver,Comprehensive,975635
C0026,Hyundai,Grand i10,2024,5000.0,Petrol,Manual,2,2755.0,7,Jaipur,White,Comprehensive,1475913
C0027,Toyota,Innova,2016,85736.0,Petrol,Automatic,1,2755.0,5,Pune,White,Comprehensive,1476522
C0028,Ford,EcoSport,2016,93504.0,Diesel,Automatic,1,1197.0,5,Jaipur,Grey,Third Party,809209
C0029,Mahindra,XUV500,2019,119653.0,Petrol,Manual,1,1197.0,5,Kochi,Silver,Comprehensive,1108732
C0030,Maruti,Vitara Brezza,2015,123642.0,Petrol,Automatic,3,998.0,7,Hyderabad,Red,Third Party,585982
C0031,Kia,Carens,2022,29964.0,Petrol,Automatic,1,1197.0,5,Delhi,Grey,Comprehensive,1605006
C0032,Tata,Altroz,2015,146092.0,Petrol,Manual,1,1498.0,5,Bengaluru,Red,Comprehensive,691257
C0033,Kia,Carens,2023,44193.0,Petrol,Automatic,2,1591.0,7,Pune,Grey,Comprehensive,1704765
C0034,Hyundai,Grand i10,2014,71692.0,CNG,Manual,2,1199.0,5,Delhi,Red,Comprehensive,335028
C0035,Ford,EcoSport,2024,5000.0,Diesel,Automatic,2,2993.0,7,Kochi,Black,Comprehensive,1694785
C0036,Mahindra,XUV300,2015,135795.0,Diesel,Manual,1,1197.0,5,Jaipur,Red,Comprehensive,758365
C0037,Hyundai,Venue,2023,5000.0,Petrol,Manual,1,1197.0,5,Chennai,Red,Comprehensive,1388027
C0038,Volkswagen,Virtus,2020,41959.0,Petrol,Manual,1,1199.0,7,Pune,Silver,Comprehensive,1481921
C0039,Hyundai,Verna,2024,15141.0,Petrol,Manual,4,2993.0,5,Ahmedabad,Blue,Comprehensive,1628045
C0040,Volkswagen,Taigun,2015,143876.0,Diesel,Manual,1,1197.0,7,Mumbai,Black,Comprehensive,921563
C0041,Maruti,Baleno,2019,73972.0,Petrol,Automatic,3,2993.0,5,Kolkata,Blue,Comprehensive,1048077
C0042,Kia,Seltos,2021,55541.0,Petrol,Manual,2,2755.0,5,Kochi,Blue,Third Party,1639448
C0043,Maruti,Swift,2015,79124.0,Diesel,Manual,2,998.0,5,Delhi,Red,Third Party,501623
C0044,Volkswagen,Taigun,2023,21755.0,Petrol,Manual,2,2755.0,5,Kochi,Blue,Comprehensive,1549346
C0045,Maruti,Swift,2014,140964.0,Electric,Manual,1,1199.0,5,Kochi,White,Third Party,422762
C0046,Tata,Nexon,2018,70889.0,Electric,Manual,2,1197.0,5,Ahmedabad,Grey,Comprehensive,1112960
C0047,Mahindra,Scorpio,2018,99710.0,Diesel,Automatic,1,1998.0,5,Delhi,Silver,Comprehensive,1560097
C0048,Renault,Kwid,2024,30872.0,Petrol,Manual,2,1497.0,5,Bengaluru,Silver,Comprehensive,1014393
C0049,Kia,Seltos,2024,6222.0,Petrol,Manual,1,998.0,5,Pune,Red,Comprehensive,1774650
C0050,Kia,Seltos,2016,122649.0,Petrol,Manual,1,2393.0,5,Ahmedabad,Red,Third Party,1293864
C0051,Volkswagen,Taigun,2022,20469.0,Petrol,Automatic,1,1591.0,5,Kochi,White,Third Party,1571205
C0052,Maruti,Baleno,2020,51943.0,Petrol,Automatic,1,1497.0,7,Kolkata,Blue,Comprehensive,1168092
C0053,Honda,Jazz,2021,5000.0,Electric,Automatic,2,1197.0,5,Kolkata,Red,Third Party,1378563
C0054,Renault,Triber,2017,106234.0,Petrol,Manual,1,998.0,7,Jaipur,Blue,Comprehensive,704890
C0055,Volkswagen,Virtus,2021,71268.0,Petrol,Manual,2,1197.0,5,Mumbai,Silver,Comprehensive,1240508
C0056,Honda,WR-V,2024,5000.0,Petrol,Manual,2,998.0,5,Kochi,White,Comprehensive,1315305
C0057,Volkswagen,Taigun,2020,52939.0,Diesel,Manual,1,2179.0,5,Ahmedabad,Silver,Third Party,1466774
